filename,width,height,class,xmin,ymin,xmax,ymax
2021_03_08__14_22_31.6.jpg,640,480,bee,229,278,280,342
2021_03_08__14_22_31.6.jpg,640,480,bee,392,277,428,328
2021_03_08__14_22_31.6.jpg,640,480,bee,102,243,136,280
2021_03_08__14_28_46.12.jpg,640,480,bee,391,177,448,250
2021_03_08__14_28_46.12.jpg,640,480,bee,475,108,521,169
2021_03_08__14_28_46.12.jpg,640,480,bee,479,23,525,80
2021_03_08__14_28_46.12.jpg,640,480,bee,161,51,207,106
2021_03_08__14_29_46.12.jpg,640,480,bee,319,265,371,324
2021_03_08__14_29_46.12.jpg,640,480,bee,238,340,283,398
2021_03_08__14_29_46.12.jpg,640,480,bee,246,113,286,193
2021_03_08__14_29_31.8.jpg,640,480,bee,480,114,505,179
2021_03_08__14_17_45.0.jpg,640,480,bee,245,198,294,264
2021_03_08__14_17_45.0.jpg,640,480,bee,167,260,213,305
2021_03_08__14_17_45.0.jpg,640,480,bee,106,306,149,350
2021_03_08__14_17_45.0.jpg,640,480,bee,385,299,417,330
2021_03_08__14_17_45.0.jpg,640,480,bee,418,278,445,324
2021_03_08__14_10_00.3.jpg,640,480,bee,102,202,138,247
2021_03_08__14_34_31.5.jpg,640,480,bee,400,221,443,289
2021_03_08__14_34_31.5.jpg,640,480,bee,471,271,506,329
2021_03_08__14_34_31.5.jpg,640,480,bee,313,369,346,409
2021_03_08__14_34_31.5.jpg,640,480,bee,171,333,218,376
2021_03_08__14_34_31.5.jpg,640,480,bee,236,138,276,193
2021_03_08__14_34_31.5.jpg,640,480,bee,163,161,208,221
2021_03_08__14_34_31.5.jpg,640,480,bee,91,181,139,239
2021_03_08__14_34_31.5.jpg,640,480,bee,108,149,149,197
2021_03_08__14_34_31.5.jpg,640,480,bee,247,28,295,80
2021_03_08__14_34_31.5.jpg,640,480,bee,327,9,359,49
2021_03_08__14_22_46.0.jpg,640,480,bee,478,227,502,292
2021_03_08__14_22_46.0.jpg,640,480,bee,248,64,279,103
2021_03_08__14_07_14.7.jpg,640,480,bee,100,256,141,304
2021_03_08__14_07_14.7.jpg,640,480,bee,106,174,142,229
2021_03_08__14_07_14.7.jpg,640,480,bee,321,379,355,424
2021_03_08__14_07_14.7.jpg,640,480,bee,477,34,523,88
2021_03_08__14_16_30.8.jpg,640,480,bee,411,214,440,274
2021_03_08__14_16_30.8.jpg,640,480,bee,553,250,575,302
2021_03_08__14_16_30.8.jpg,640,480,bee,541,339,557,383
2021_03_08__14_16_30.8.jpg,640,480,bee,180,301,224,351
2021_03_08__14_16_30.8.jpg,640,480,bee,161,244,194,289
2021_03_08__14_12_30.4.jpg,640,480,bee,244,141,289,196
2021_03_08__13_59_29.1.jpg,640,480,bee,159,202,211,265
2021_03_08__13_59_29.1.jpg,640,480,bee,399,94,437,149
2021_03_08__14_19_15.5.jpg,640,480,bee,167,175,200,224
2021_03_08__14_19_15.5.jpg,640,480,bee,111,168,138,208
2021_03_08__14_19_15.5.jpg,640,480,bee,317,201,352,249
2021_03_08__14_19_15.5.jpg,640,480,bee,329,263,373,316
2021_03_08__14_19_15.5.jpg,640,480,bee,167,351,212,394
2021_03_08__14_19_15.5.jpg,640,480,bee,475,300,501,336
2021_03_08__14_25_01.4.jpg,640,480,bee,314,98,362,150
2021_03_08__14_25_01.4.jpg,640,480,bee,236,118,279,174
2021_03_08__14_25_01.4.jpg,640,480,bee,170,154,220,210
2021_03_08__14_25_01.4.jpg,640,480,bee,407,163,444,222
2021_03_08__14_25_01.4.jpg,640,480,bee,479,341,514,385
2021_03_08__14_25_01.4.jpg,640,480,bee,161,337,200,371
2021_03_08__14_23_46.11.jpg,640,480,bee,163,71,207,128
2021_03_08__14_16_30.0.jpg,640,480,bee,411,244,443,294
2021_03_08__14_16_30.0.jpg,640,480,bee,401,321,429,366
2021_03_08__14_16_30.0.jpg,640,480,bee,164,302,202,348
2021_03_08__14_16_30.0.jpg,640,480,bee,471,93,517,122
2021_03_08__14_16_30.0.jpg,640,480,bee,539,51,575,87
2021_03_08__14_16_30.0.jpg,640,480,bee,533,25,567,64
2021_03_08__14_02_14.9.jpg,640,480,bee,403,209,433,258
2021_03_08__14_02_14.9.jpg,640,480,bee,539,64,567,100
2021_03_08__14_02_14.9.jpg,640,480,bee,398,357,412,387
2021_03_08__14_02_14.9.jpg,640,480,bee,413,368,430,406
2021_03_08__14_02_14.9.jpg,640,480,bee,473,372,497,412
2021_03_08__14_02_14.9.jpg,640,480,bee,194,374,224,408
2021_03_08__14_02_14.9.jpg,640,480,bee,111,265,143,296
2021_03_08__14_22_01.3.jpg,640,480,bee,245,197,278,245
2021_03_08__14_22_01.3.jpg,640,480,bee,167,287,201,359
2021_03_08__14_22_01.3.jpg,640,480,bee,411,264,442,319
2021_03_08__14_13_30.8.jpg,640,480,bee,246,382,289,429
2021_03_08__14_13_30.8.jpg,640,480,bee,409,120,438,159
2021_03_08__14_13_30.8.jpg,640,480,bee,487,133,518,180
2021_03_08__14_13_30.8.jpg,640,480,bee,258,27,299,84
2021_03_08__14_29_01.6.jpg,640,480,bee,180,351,210,395
2021_03_08__14_29_01.6.jpg,640,480,bee,168,340,194,377
2021_03_08__14_29_01.6.jpg,640,480,bee,107,383,144,410
2021_03_08__14_29_01.6.jpg,640,480,bee,162,170,198,207
2021_03_08__14_29_01.6.jpg,640,480,bee,253,13,292,78
2021_03_08__14_34_31.4.jpg,640,480,bee,479,169,517,233
2021_03_08__14_34_31.4.jpg,640,480,bee,417,105,439,165
2021_03_08__14_34_31.4.jpg,640,480,bee,308,154,347,202
2021_03_08__14_34_31.4.jpg,640,480,bee,163,90,201,150
2021_03_08__14_20_00.9.jpg,640,480,bee,249,109,285,165
2021_03_08__14_20_00.9.jpg,640,480,bee,243,79,277,124
2021_03_08__14_20_00.9.jpg,640,480,bee,159,333,187,380
2021_03_08__14_20_00.9.jpg,640,480,bee,186,341,210,384
2021_03_08__14_20_00.9.jpg,640,480,bee,171,373,202,411
2021_03_08__14_07_29.7.jpg,640,480,bee,166,259,204,329
2021_03_08__14_07_29.7.jpg,640,480,bee,86,234,128,276
2021_03_08__14_07_29.7.jpg,640,480,bee,106,326,153,374
2021_03_08__14_07_29.7.jpg,640,480,bee,184,364,215,405
2021_03_08__14_07_29.7.jpg,640,480,bee,249,32,299,93
2021_03_08__14_03_44.4.jpg,640,480,bee,327,367,367,418
2021_03_08__14_03_44.4.jpg,640,480,bee,248,374,281,418
2021_03_08__14_03_44.4.jpg,640,480,bee,159,105,200,168
2021_03_08__14_10_30.5.jpg,640,480,bee,240,250,279,303
2021_03_08__14_10_30.5.jpg,640,480,bee,180,204,225,242
2021_03_08__14_10_30.5.jpg,640,480,bee,163,151,204,197
2021_03_08__14_10_30.5.jpg,640,480,bee,312,381,373,434
2021_03_08__14_10_30.5.jpg,640,480,bee,550,223,581,287
2021_03_08__13_59_59.7.jpg,640,480,bee,251,284,294,334
2021_03_08__13_59_59.7.jpg,640,480,bee,170,309,214,347
2021_03_08__13_59_59.7.jpg,640,480,bee,393,371,447,433
2021_03_08__13_59_59.7.jpg,640,480,bee,465,337,500,378
2021_03_08__14_30_31.6.jpg,640,480,bee,243,263,295,315
2021_03_08__14_30_31.6.jpg,640,480,bee,320,116,353,179
2021_03_08__14_30_31.6.jpg,640,480,bee,404,137,427,186
2021_03_08__14_19_45.1.jpg,640,480,bee,177,259,211,313
2021_03_08__14_19_45.1.jpg,640,480,bee,169,229,208,274
2021_03_08__14_19_45.1.jpg,640,480,bee,156,330,208,375
2021_03_08__14_19_45.1.jpg,640,480,bee,394,309,433,363
2021_03_08__14_19_45.1.jpg,640,480,bee,543,231,584,264
2021_03_08__14_19_45.1.jpg,640,480,bee,476,66,503,115
2021_03_08__14_19_00.11.jpg,640,480,bee,389,105,429,160
2021_03_08__14_19_00.11.jpg,640,480,bee,238,53,291,101
2021_03_08__14_19_00.11.jpg,640,480,bee,179,40,222,84
2021_03_08__14_30_01.13.jpg,640,480,bee,252,388,290,429
2021_03_08__14_30_01.13.jpg,640,480,bee,109,344,156,401
2021_03_08__14_30_01.13.jpg,640,480,bee,256,111,294,187
2021_03_08__14_30_01.13.jpg,640,480,bee,174,39,224,88
2021_03_08__14_30_01.13.jpg,640,480,bee,470,22,503,64
2021_03_08__14_31_01.4.jpg,640,480,bee,172,259,216,315
2021_03_08__14_31_01.4.jpg,640,480,bee,95,186,140,224
2021_03_08__14_31_01.4.jpg,640,480,bee,328,47,364,109
2021_03_08__14_31_01.4.jpg,640,480,bee,418,54,454,104
2021_03_08__14_31_01.4.jpg,640,480,bee,543,78,562,123
2021_03_08__14_31_01.4.jpg,640,480,bee,548,112,585,154
2021_03_08__14_17_30.9.jpg,640,480,bee,232,138,277,198
2021_03_08__14_31_16.3.jpg,640,480,bee,165,230,203,290
2021_03_08__14_31_16.3.jpg,640,480,bee,391,47,425,108
2021_03_08__14_31_16.3.jpg,640,480,bee,239,390,295,429
2021_03_08__14_31_16.3.jpg,640,480,bee,470,353,508,406
2021_03_08__14_33_16.3.jpg,640,480,bee,241,54,271,104
2021_03_08__14_33_16.3.jpg,640,480,bee,247,17,279,54
2021_03_08__14_09_45.4.jpg,640,480,bee,168,378,206,421
2021_03_08__14_09_45.4.jpg,640,480,bee,491,82,516,121
2021_03_08__13_59_14.13.jpg,640,480,bee,101,191,139,231
2021_03_08__13_59_14.13.jpg,640,480,bee,105,151,135,185
2021_03_08__13_59_14.13.jpg,640,480,bee,176,375,229,411
2021_03_08__13_58_29.4.jpg,640,480,bee,175,261,208,301
2021_03_08__13_58_29.4.jpg,640,480,bee,154,241,183,274
2021_03_08__13_58_29.4.jpg,640,480,bee,95,234,127,261
2021_03_08__14_11_15.4.jpg,640,480,bee,473,177,504,214
2021_03_08__14_11_15.4.jpg,640,480,bee,322,53,365,96
2021_03_08__14_33_16.13.jpg,640,480,bee,470,169,518,214
2021_03_08__14_33_16.13.jpg,640,480,bee,234,124,272,177
2021_03_08__14_33_16.13.jpg,640,480,bee,398,379,441,427
2021_03_08__14_12_30.10.jpg,640,480,bee,242,162,286,228
2021_03_08__14_12_30.10.jpg,640,480,bee,98,306,137,364
2021_03_08__14_35_01.0.jpg,640,480,bee,174,97,204,157
2021_03_08__14_35_01.0.jpg,640,480,bee,540,289,575,340
2021_03_08__14_11_15.9.jpg,640,480,bee,238,286,290,353
2021_03_08__14_11_15.9.jpg,640,480,bee,396,237,443,288
2021_03_08__14_11_15.9.jpg,640,480,bee,400,183,440,233
2021_03_08__14_11_15.9.jpg,640,480,bee,249,124,281,175
2021_03_08__14_11_15.9.jpg,640,480,bee,224,87,268,135
2021_03_08__13_59_29.6.jpg,640,480,bee,168,92,219,152
2021_03_08__14_03_59.2.jpg,640,480,bee,174,64,202,104
2021_03_08__14_03_59.2.jpg,640,480,bee,190,31,214,60
2021_03_08__14_37_01.5.jpg,640,480,bee,234,286,270,338
2021_03_08__14_37_01.5.jpg,640,480,bee,158,268,208,320
2021_03_08__14_37_01.5.jpg,640,480,bee,189,232,228,282
2021_03_08__14_37_01.5.jpg,640,480,bee,153,228,188,270
2021_03_08__14_37_01.5.jpg,640,480,bee,250,203,287,235
2021_03_08__14_37_01.5.jpg,640,480,bee,175,132,218,187
2021_03_08__14_00_44.5.jpg,640,480,bee,178,234,222,290
2021_03_08__14_00_44.5.jpg,640,480,bee,98,205,148,251
2021_03_08__14_00_44.5.jpg,640,480,bee,489,225,516,274
2021_03_08__14_00_44.5.jpg,640,480,bee,532,321,562,361
2021_03_08__14_37_01.8.jpg,640,480,bee,483,125,511,175
2021_03_08__14_37_01.8.jpg,640,480,bee,402,58,435,103
2021_03_08__14_20_30.4.jpg,640,480,bee,232,50,279,94
2021_03_08__14_20_30.4.jpg,640,480,bee,531,78,567,128
2021_03_08__14_01_29.12.jpg,640,480,bee,170,94,217,145
2021_03_08__14_01_29.12.jpg,640,480,bee,391,58,425,109
2021_03_08__14_28_01.8.jpg,640,480,bee,234,54,302,105
2021_03_08__14_28_01.8.jpg,640,480,bee,100,197,135,263
2021_03_08__14_27_01.1.jpg,640,480,bee,172,314,215,368
2021_03_08__14_27_01.1.jpg,640,480,bee,180,360,214,400
2021_03_08__14_15_00.3.jpg,640,480,bee,325,107,372,171
2021_03_08__14_16_00.8.jpg,640,480,bee,242,122,288,164
2021_03_08__14_16_00.8.jpg,640,480,bee,313,378,362,418
2021_03_08__13_59_14.9.jpg,640,480,bee,167,190,211,235
2021_03_08__13_59_14.9.jpg,640,480,bee,176,28,209,76
2021_03_08__13_59_14.9.jpg,640,480,bee,241,390,285,415
2021_03_08__13_59_14.9.jpg,640,480,bee,541,71,577,109
2021_03_08__14_32_31.11.jpg,640,480,bee,391,223,435,281
2021_03_08__14_32_31.11.jpg,640,480,bee,160,190,195,231
2021_03_08__14_32_31.11.jpg,640,480,bee,104,210,138,256
2021_03_08__14_14_15.12.jpg,640,480,bee,114,164,153,207
2021_03_08__14_14_15.12.jpg,640,480,bee,494,208,538,256
2021_03_08__14_00_59.4.jpg,640,480,bee,385,207,424,244
2021_03_08__14_00_59.4.jpg,640,480,bee,169,160,204,201
2021_03_08__14_31_16.6.jpg,640,480,bee,109,351,153,414
2021_03_08__14_29_16.2.jpg,640,480,bee,247,112,292,164
2021_03_08__14_29_16.2.jpg,640,480,bee,172,63,207,119
2021_03_08__14_29_16.2.jpg,640,480,bee,326,21,367,62
2021_03_08__14_29_16.2.jpg,640,480,bee,527,132,571,199
2021_03_08__14_29_16.5.jpg,640,480,bee,114,261,135,298
2021_03_08__14_29_16.5.jpg,640,480,bee,174,36,215,76
2021_03_08__14_29_16.5.jpg,640,480,bee,538,327,583,367
2021_03_08__14_23_16.3.jpg,640,480,bee,97,275,154,329
2021_03_08__14_23_16.3.jpg,640,480,bee,467,80,512,130
2021_03_08__14_23_16.3.jpg,640,480,bee,334,24,379,66
2021_03_08__14_13_15.9.jpg,640,480,bee,258,245,299,298
2021_03_08__14_13_15.9.jpg,640,480,bee,162,216,200,259
2021_03_08__14_13_15.9.jpg,640,480,bee,109,262,153,310
2021_03_08__14_13_15.9.jpg,640,480,bee,164,165,214,212
2021_03_08__14_13_15.9.jpg,640,480,bee,177,107,221,149
2021_03_08__14_13_15.9.jpg,640,480,bee,565,97,584,150
2021_03_08__14_13_15.9.jpg,640,480,bee,552,253,580,294
2021_03_08__14_04_44.4.jpg,640,480,bee,390,153,436,194
2021_03_08__14_04_44.4.jpg,640,480,bee,479,365,527,427
2021_03_08__14_04_44.4.jpg,640,480,bee,118,341,169,375
2021_03_08__14_04_44.4.jpg,640,480,bee,176,27,218,70
2021_03_08__14_10_15.13.jpg,640,480,bee,158,214,216,260
2021_03_08__14_10_15.13.jpg,640,480,bee,244,139,290,191
2021_03_08__14_10_15.13.jpg,640,480,bee,105,145,134,188
2021_03_08__14_10_15.13.jpg,640,480,bee,86,248,127,277
2021_03_08__14_10_15.13.jpg,640,480,bee,119,51,157,90
2021_03_08__14_10_15.13.jpg,640,480,bee,394,324,430,368
2021_03_08__14_05_59.2.jpg,640,480,bee,110,293,140,318
2021_03_08__14_27_46.12.jpg,640,480,bee,170,79,216,129
2021_03_08__13_59_44.12.jpg,640,480,bee,168,258,204,300
2021_03_08__13_59_44.12.jpg,640,480,bee,313,362,345,399
2021_03_08__14_29_01.13.jpg,640,480,bee,403,139,440,217
2021_03_08__14_29_01.13.jpg,640,480,bee,535,62,573,117
2021_03_08__14_29_01.13.jpg,640,480,bee,116,162,154,213
2021_03_08__14_29_01.13.jpg,640,480,bee,184,25,219,65
2021_03_08__14_37_31.12.jpg,640,480,bee,98,157,141,197
2021_03_08__14_29_31.12.jpg,640,480,bee,388,234,443,311
2021_03_08__14_29_31.12.jpg,640,480,bee,465,72,489,121
2021_03_08__14_29_31.12.jpg,640,480,bee,484,84,504,133
2021_03_08__14_07_45.2.jpg,640,480,bee,106,283,153,324
2021_03_08__14_07_45.2.jpg,640,480,bee,263,74,277,116
2021_03_08__14_14_15.1.jpg,640,480,bee,311,69,350,107
2021_03_08__14_14_15.1.jpg,640,480,bee,317,24,361,60
2021_03_08__14_14_15.1.jpg,640,480,bee,399,347,448,395
2021_03_08__14_14_15.1.jpg,640,480,bee,471,22,519,73
2021_03_08__14_15_45.7.jpg,640,480,bee,246,74,291,117
2021_03_08__14_15_45.7.jpg,640,480,bee,186,148,220,190
2021_03_08__14_15_45.7.jpg,640,480,bee,163,154,191,192
2021_03_08__14_35_46.12.jpg,640,480,bee,466,330,511,374
2021_03_08__14_35_46.12.jpg,640,480,bee,331,135,366,211
2021_03_08__14_35_46.12.jpg,640,480,bee,160,202,209,256
2021_03_08__14_35_46.12.jpg,640,480,bee,95,159,139,207
2021_03_08__14_35_46.12.jpg,640,480,bee,92,235,136,283
2021_03_08__14_35_46.12.jpg,640,480,bee,105,280,142,321
2021_03_08__14_18_45.3.jpg,640,480,bee,150,138,199,207
2021_03_08__14_10_30.12.jpg,640,480,bee,98,176,125,215
2021_03_08__14_10_30.12.jpg,640,480,bee,234,315,280,375
2021_03_08__14_10_30.12.jpg,640,480,bee,115,90,159,156
2021_03_08__14_14_30.2.jpg,640,480,bee,178,174,220,220
2021_03_08__14_14_30.2.jpg,640,480,bee,95,202,137,243
2021_03_08__14_14_30.2.jpg,640,480,bee,167,61,206,100
2021_03_08__14_14_30.2.jpg,640,480,bee,487,306,534,344
2021_03_08__14_14_30.2.jpg,640,480,bee,539,373,583,419
2021_03_08__14_14_30.2.jpg,640,480,bee,114,364,146,403
2021_03_08__14_35_16.2.jpg,640,480,bee,398,269,431,319
2021_03_08__14_35_16.2.jpg,640,480,bee,422,262,443,307
2021_03_08__14_35_16.2.jpg,640,480,bee,313,357,351,409
2021_03_08__14_35_16.2.jpg,640,480,bee,174,118,221,185
2021_03_08__14_35_16.2.jpg,640,480,bee,169,87,210,127
2021_03_08__14_35_16.2.jpg,640,480,bee,258,27,296,77
2021_03_08__13_58_29.7.jpg,640,480,bee,235,198,279,254
2021_03_08__13_58_29.7.jpg,640,480,bee,168,197,193,229
2021_03_08__13_58_44.8.jpg,640,480,bee,255,246,297,290
2021_03_08__13_58_44.8.jpg,640,480,bee,231,207,272,241
2021_03_08__13_58_44.8.jpg,640,480,bee,235,142,281,186
2021_03_08__13_58_44.8.jpg,640,480,bee,164,139,214,196
2021_03_08__13_58_44.8.jpg,640,480,bee,160,192,191,243
2021_03_08__13_58_44.8.jpg,640,480,bee,231,317,268,364
2021_03_08__13_58_44.8.jpg,640,480,bee,414,94,450,155
2021_03_08__13_58_44.8.jpg,640,480,bee,552,53,576,107
2021_03_08__14_06_14.7.jpg,640,480,bee,542,162,584,223
2021_03_08__14_06_14.7.jpg,640,480,bee,242,363,277,400
2021_03_08__14_04_14.0.jpg,640,480,bee,107,188,147,245
2021_03_08__14_04_14.0.jpg,640,480,bee,478,224,506,265
2021_03_08__14_04_14.0.jpg,640,480,bee,540,107,565,150
2021_03_08__14_04_14.0.jpg,640,480,bee,479,35,506,79
2021_03_08__14_07_29.5.jpg,640,480,bee,172,137,207,179
2021_03_08__14_07_29.5.jpg,640,480,bee,156,86,196,134
2021_03_08__14_07_29.5.jpg,640,480,bee,107,118,146,155
2021_03_08__14_20_00.10.jpg,640,480,bee,251,132,295,185
2021_03_08__14_20_00.10.jpg,640,480,bee,247,87,280,144
2021_03_08__14_08_30.12.jpg,640,480,bee,464,58,500,107
2021_03_08__14_31_01.3.jpg,640,480,bee,167,387,199,434
2021_03_08__14_31_01.3.jpg,640,480,bee,107,367,154,397
2021_03_08__14_31_01.3.jpg,640,480,bee,529,79,564,125
2021_03_08__14_31_01.3.jpg,640,480,bee,536,21,571,73
2021_03_08__14_31_01.3.jpg,640,480,bee,417,28,450,75
2021_03_08__14_04_59.2.jpg,640,480,bee,164,253,210,289
2021_03_08__14_04_59.2.jpg,640,480,bee,106,142,154,178
2021_03_08__14_04_59.2.jpg,640,480,bee,250,40,289,89
2021_03_08__14_04_59.2.jpg,640,480,bee,320,74,365,115
2021_03_08__14_04_59.2.jpg,640,480,bee,464,52,502,94
2021_03_08__14_18_45.5.jpg,640,480,bee,322,12,379,61
2021_03_08__14_18_45.5.jpg,640,480,bee,175,380,217,426
2021_03_08__14_18_45.5.jpg,640,480,bee,105,367,140,409
2021_03_08__14_29_16.10.jpg,640,480,bee,90,155,131,209
2021_03_08__14_29_16.10.jpg,640,480,bee,243,67,282,108
2021_03_08__14_29_16.10.jpg,640,480,bee,172,43,209,103
2021_03_08__14_29_16.10.jpg,640,480,bee,483,24,505,63
2021_03_08__14_33_01.3.jpg,640,480,bee,469,220,511,281
